iter	Passed	Remaining
203	67278	592318
204	67566	591617
205	67804	590490
206	68183	590590
207	68621	591204
208	68898	590420
209	69280	590531
210	69607	590180
211	69938	589862
212	70139	588444
213	70440	587881
214	70761	587480
215	71073	587014
216	71331	586098
217	71713	586211
218	72016	585668
219	72353	585409
220	72670	584984
221	73009	584737
222	73332	584361
223	73605	583586
224	74011	583870
225	74301	583234
226	74635	582945
227	75035	583173
228	75350	582734
229	75746	582917
230	75983	581882
231	76320	581613
232	76698	581654
233	77016	581245
234	77363	581050
235	77600	580031
236	77846	579082
237	78133	578447
238	78422	577832
239	78739	577425
240	79055	577004
241	79358	576495
242	79655	575947
243	79954	575410
244	80240	574785
245	80520	574118
246	80781	573319
247	81096	572909
248	81425	572591
249	81780	572462
250	82118	572209
251	82364	571323
252	82761	571476
253	83060	570962
254	83274	569855
255	83654	569899
256	83884	568916
257	84102	567855
258	84373	567160
259	84742	567121
260	85087	566920
261	85400	566509
262	85782	566553
263	86157	566553
264	86503	566352
265	86832	566046
266	87133	565551
267	87442	565112
268	87757	564716
269	88032	564061
270	88365	563778
271	88622	563013
272	88977	562870
273	89269	562330
274	89687	562582
275	90013	562258
276	90335	561908
277	90580	561078
278	90849	560399
279	91254	560563
280	91639	560598
281	91983	560383
282	92368	560413
283	92734	560326
284	93060	559997
285	93437	559969
286	93733	559463
287	94093	559336
288	94437	559111
289	94765	558789
290	95141	558750
291	95514	558695
292	95869	558529
293	96217	558325
294	96574	558168
295	96928	557991
296	97258	557679
297	97552	557163
298	97826	556531
299	98152	556199
300	98467	555798
301	98755	555252
302	99114	555107
303	99410	554606
304	99787	554558
305	100169	554532
306	100524	554360
307	100790	553693
308	101159	553593
309	101440	553014
310	101881	553302
311	102194	552898
312	102486	552380
313	102837	552180
314	103170	551878
315	103430	551194
316	103730	550720
317	103998	550079
318	104259	549405
319	104622	549266
320	104951	548953
321	105317	548826
322	105680	548686
323	105968	548157
324	106310	547906
325	106717	547992
326	107070	547796
327	107396	547461
328	107699	547010
329	108025	546673
330	108406	546617
331	108808	546662
332	109171	546510
333	109438	545880
334	109789	545671
335	110176	545638
336	110498	545281
337	110886	545246
338	111211	544904
339	111492	544345
340	111835	544091
341	112140	543651
342	112420	543094
343	112814	543083
344	113165	542866
345	113533	542728
346	113908	542623
347	114262	542417
348	114594	542106
349	114922	541777
350	115253	541461
351	115572	541089
352	115954	541010
353	116372	541100
354	116770	541091
355	117022	540406
356	117434	540460
357	117697	539829
358	118063	539671
359	118326	539044
360	118649	538690
361	119016	538532
362	119415	538521
363	119721	538091
364	120053	537775
365	120357	537334
366	120664	536905
367	121001	536614
368	121236	535871
369	121639	535870
370	121996	535665
371	122234	534941
372	122525	534445
373	122818	533964
374	123138	533598
375	123488	533366
376	123766	532818
377	124082	532437
378	124454	532297
379	124686	531558
380	125010	531213
381	125312	530772
382	125569	530145
383	125886	529773
384	126159	529213
385	126436	528675
386	126795	528477
387	127144	528238
388	127516	528094
389	127860	527834
390	128189	527510
391	128418	526778
392	128773	526562
393	129070	526108
394	129334	525523
395	129595	524926
396	129899	524505
397	130179	523987
398	130464	523494
399	130709	522836
400	131041	522530
401	131357	522163
402	131731	522023
403	132076	521767
404	132367	521297
405	132723	521084
406	132988	520517
407	133264	519993
408	133503	519326
409	133834	519018
410	134201	518848
411	134563	518656
412	134869	518250
413	135193	517914
414	135597	517885
415	135912	517513
416	136299	517416
417	136654	517193
418	137006	516961
419	137387	516838
420	137763	516693
421	138081	516333
422	138405	515993
423	138760	515770
424	139139	515635
425	139436	515194
426	139757	514844
427	140124	514663
428	140454	514346
429	140785	514029
430	141148	513832
431	141421	513309
432	141703	512817
433	142073	512642
434	142461	512534
435	142764	512117
436	143153	512011
437	143474	511659
438	143801	511331
439	144065	510779
440	144471	510727
441	144716	510108
442	145048	509797
443	145378	509479
444	145635	508906
445	145876	508279
446	146161	507805
447	146511	507557
448	146873	507351
449	147267	507254
450	147541	506742
451	147815	506234
452	148152	505943
453	148511	505723
454	148794	505248
455	149103	504860
456	149398	504425
457	149650	503844
458	150001	503598
459	150313	503222
460	150677	503019
461	151078	502941
462	151421	502665
463	151674	502094
464	152040	501897
465	152320	501414
466	152612	500973
467	152965	500732
468	153307	500454
469	153630	500117
470	153978	499857
471	154238	499313
472	154502	498783
473	154902	498694
474	155231	498376
475	155597	498172
476	155980	498025
477	156378	497926
478	156735	497691
479	156945	496993
480	157201	496444
481	157561	496219
482	157929	496023
483	158258	495701
484	158600	495420
485	158945	495150
486	159239	494721
487	159591	494471
488	159911	494123
489	160215	493725
490	160582	493519
491	160919	493223
492	161153	492612
493	161436	492151
494	161705	491651
495	161939	491043
496	162275	490743
497	162633	490514
498	162946	490146
499	163298	489895
500	163641	489617
501	164039	489505
502	164385	489234
503	164706	488890
504	165038	488579
505	165307	488082
506	165735	488052
507	165982	487490
508	166274	487062
509	166593	486713
510	166878	486266
511	167242	486049
512	167589	485782
513	167897	485400
514	168141	484834
515	168480	484545
516	168768	484107
517	169067	483701
518	169439	483505
519	169744	483117
520	170012	482625
521	170339	482303
522	170625	481861
523	171016	481717
524	171315	481313
525	171646	481000
526	171963	480650
527	172222	480136
528	172523	479738
529	172858	479436
530	173212	479187
531	173536	478855
532	173799	478355
533	174136	478060
534	174513	477873
535	174847	477567
536	175189	477285
537	175452	476786
538	175686	476212
539	175994	475836
540	176365	475632
541	176619	475111
542	176980	474881
543	177288	474508
544	177599	474142
545	178052	474155
546	178335	473714
547	178686	473454
548	179019	473146
549	179377	472903
550	179735	472663
551	180014	472213
552	180343	471893
553	180663	471551
554	180996	471243
555	181383	471075
556	181684	470682
557	181980	470278
558	182257	469827
559	182600	469545
560	182980	469355
561	183263	468920
562	183543	468476
563	183899	468226
564	184219	467885
565	184622	467754
566	184889	467278
567	185108	466681
568	185415	466309
569	185659	465778
570	186013	465521
571	186296	465088
572	186636	464799
573	186884	464281
574	187224	463991
575	187535	463628
576	187890	463377
577	188253	463142
578	188546	462736
579	188906	462495
580	189346	462447
581	189766	462353
582	190086	462012
583	190403	461663
584	190745	461375
585	190985	460841
586	191361	460635
587	191738	460433
588	192052	460078
589	192347	459678
590	192553	459065
591	192821	458603
592	193221	458453
593	193637	458340
594	193891	457844
595	194224	457536
596	194473	457029
597	194841	456802
598	195160	456460
599	195560	456307
600	195859	455920
601	196145	455500
602	196528	455307
603	196821	454904
604	197114	454503
605	197386	454054
606	197749	453813
607	198055	453442
608	198427	453221
609	198752	452894
610	199039	452480
611	199294	451994
612	199694	451837
613	200077	451640
614	200300	451083
615	200591	450678
616	200988	450512
617	201329	450221
618	201698	449993
619	202009	449634
620	202355	449354
621	202680	449024
622	202976	448633
623	203284	448268
624	203609	447941
625	203981	447716
626	204326	447433
627	204587	446964
628	204923	446661
629	205240	446316
630	205643	446158
631	205970	445835
632	206332	445587
633	206723	445400
634	206960	444883
635	207351	444698
636	207662	444338
637	207906	443838
638	208193	443429
639	208598	443272
640	209023	443155
641	209330	442790
642	209662	442476
643	210045	442269
644	210418	442042
645	210749	441725
646	211094	441439
647	211449	441171
648	211781	440858
649	212020	440351
650	212377	440087
651	212751	439860
652	213074	439528
653	213363	439124
654	213726	438874
655	214046	438533
656	214401	438267
657	214798	438085
658	215113	437734
659	215425	437378
660	215674	436896
661	216034	436638
662	216313	436215
663	216572	435754
664	216873	435377
665	217225	435102
666	217575	434825
667	217876	434447
668	218244	434205
669	218595	433928
670	218945	433648
671	219275	433329
672	219643	433085
673	219974	432769
674	220205	432255
675	220498	431863
676	220824	431536
677	221150	431211
678	221541	431010
679	221809	430571
680	222168	430309
681	222515	430021
682	222838	429689
683	223120	429278
684	223503	429061
685	223834	428744
686	224137	428373
687	224462	428044
688	224787	427716
689	225108	427380
690	225413	427014
691	225706	426624
692	226025	426285
693	226381	426014
694	226710	425693
695	227063	425417
696	227323	424968
697	227598	424546
698	227864	424109
699	228148	423703
700	228558	423533
701	228890	423218
702	229116	422709
703	229473	422440
704	229862	422230
705	230176	421880
706	230557	421656
707	230805	421187
708	231193	420974
709	231565	420731
710	231960	420529
711	232261	420159
712	232510	419693
713	232834	419363
714	233195	419100
715	233580	418879
716	233895	418531
717	234289	418328
718	234644	418052
719	234974	417732
720	235251	417319
721	235644	417110
722	235977	416794
723	236272	416414
724	236641	416163
725	236957	415817
726	237334	415579
727	237637	415213
728	238001	414951
729	238346	414656
730	238708	414393
731	238983	413976
732	239331	413688
733	239693	413422
734	240075	413190
735	240431	412914
736	240808	412673
737	241136	412349
738	241467	412031
739	241744	411618
740	242022	411210
741	242320	410835
742	242601	410431
743	242888	410037
744	243125	409560
745	243493	409303
746	243697	408771
747	244027	408452
748	244278	408000
749	244665	407775
750	244959	407396
751	245248	407007
752	245538	406621
753	245846	406265
754	246146	405897
755	246518	405647
756	246820	405281
757	247184	405017
758	247517	404703
759	247871	404421
760	248141	404004
761	248391	403555
762	248740	403266
763	249049	402912
764	249386	402604
765	249719	402289
766	250078	402016
767	250357	401614
768	250721	401350
769	250985	400925
770	251321	400614
771	251629	400260
772	251984	399980
773	252310	399653
774	252630	399318
775	252950	398984
776	253275	398656
777	253529	398217
778	253884	397937
779	254202	397599
780	254454	397157
781	254801	396865
782	255104	396503
783	255473	396244
784	255761	395859
785	256097	395550
786	256389	395172
787	256716	394847
788	257061	394552
789	257372	394203
790	257653	393809
791	257895	393355
792	258189	392982
793	258531	392681
794	258794	392260
795	259086	391884
796	259440	391601
797	259734	391229
798	260070	390919
799	260399	390599
800	260783	390361
801	261115	390045
802	261416	389683
803	261808	389457
804	262060	389021
805	262343	388633
806	262637	388260
807	262936	387896
808	263310	387643
809	263571	387221
810	263848	386826
811	264175	386503
812	264522	386209
813	264875	385924
814	265183	385573
815	265527	385274
816	265814	384894
817	266135	384562
818	266492	384282
819	266812	383950
820	267160	383656
821	267433	383256
822	267889	383117
823	268192	382759
824	268463	382357
825	268811	382064
826	269098	381683
827	269366	381277
828	269679	380933
829	270055	380680
830	270398	380379
831	270663	379970
832	270969	379617
833	271307	379309
834	271652	379012
835	271917	378602
836	272159	378161
837	272557	377937
838	272882	377611
839	273147	377203
840	273397	376774
841	273675	376385
842	273935	375971
843	274330	375741
844	274639	375394
845	275006	375127
846	275360	374840
847	275623	374432
848	275907	374051
849	276161	373630
850	276507	373333
851	276796	372960
852	277138	372658
853	277431	372291
854	277726	371925
855	277987	371516
856	278368	371265
857	278780	371057
858	279189	370844
859	279488	370484
860	279713	370027
861	280019	369677
862	280280	369268
863	280676	369037
864	281018	368735
865	281345	368413
866	281715	368147
867	282085	367881
868	282459	367619
869	282717	367207
870	282953	366767
871	283263	366423
872	283588	366098
873	283860	365705
874	284130	365310
875	284474	365010
876	284735	364604
877	285129	364368
878	285422	364002
879	285691	363607
880	286015	363282
881	286235	362824
882	286552	362490
883	286771	362032
884	287110	361727
885	287353	361299
886	287621	360905
887	288027	360682
888	288419	360442
889	288687	360048
890	289043	359763
891	289351	359418
892	289556	358946
893	289891	358635
894	290244	358346
895	290640	358110
896	291026	357862
897	291307	357484
898	291634	357163
899	291928	356801
900	292227	356445
901	292570	356144
902	292863	355782
903	293169	355435
904	293511	355132
905	293828	354799
906	294135	354454
907	294435	354101
908	294696	353700
909	295015	353370
910	295398	353116
911	295682	352743
912	295988	352397
913	296371	352143
914	296760	351896
915	297133	351629
916	297480	351331
917	297827	351034
918	298108	350658
919	298479	350388
920	298830	350095
921	299208	349833
922	299510	349482
923	299782	349097
924	300073	348733
925	300459	348480
926	300722	348085
927	301077	347796
928	301354	347417
929	301600	347002
930	301900	346650
931	302230	346332
932	302555	346009
933	302891	345698
934	303203	345360
935	303451	344948
936	303746	344591
937	304067	344263
938	304408	343959
939	304685	343582
940	305021	343270
941	305381	342986
942	305773	342738
943	306027	342336
944	306319	341975
945	306575	341575
946	306904	341256
947	307191	340891
948	307500	340551
949	307920	340333
950	308208	339969
951	308518	339630
952	308844	339307
953	309202	339021
954	309530	338700
955	309893	338418
956	310291	338175
957	310565	337796
958	310929	337515
959	311272	337212
960	311642	336936
961	312044	336696
962	312413	336419
963	312726	336083
964	312981	335685
965	313298	335352
966	313651	335059
967	313928	334683
968	314218	334323
969	314611	334071
970	314943	333755
971	315206	333366
972	315428	332934
973	315715	332571
974	315977	332181
975	316318	331874
976	316679	331589
977	317078	331344
978	317378	330993
979	317678	330645
980	318053	330373
981	318355	330026
982	318761	329787
983	319108	329485
984	319407	329135
985	319730	328809
986	320016	328447
987	320262	328042
988	320632	327765
989	321031	327517
990	321354	327191
991	321739	326929
992	322146	326688
993	322474	326367
994	322717	325960
995	323093	325688
996	323469	325415
997	323746	325044
998	323998	324647
999	324294	324294
1000	324582	323933
1001	324870	323573
1002	325187	323241
1003	325522	322928
1004	325856	322613
1005	326296	322404
1006	326647	322105
1007	326980	321790
1008	327279	321441
1009	327598	321111
1010	327826	320693
1011	328153	320371
1012	328565	320132
1013	328855	319774
1014	329120	319392
1015	329397	319022
1016	329768	318744
1017	330141	318466
1018	330446	318123
1019	330703	317735
1020	331000	317384
1021	331370	317103
1022	331652	316739
1023	331952	316391
1024	332296	316086
1025	332566	315711
1026	332948	315441
1027	333285	315129
1028	333613	314809
1029	333840	314393
1030	334158	314063
1031	334489	313745
1032	334839	313446
1033	335165	313123
1034	335470	312781
1035	335836	312496
1036	336211	312219
1037	336523	311883
1038	336831	311544
1039	337216	311277
1040	337531	310944
1041	337827	310593
1042	338224	310336
1043	338562	310024
1044	338913	309724
1045	339199	309365
1046	339587	309099
1047	339858	308726
1048	340119	308344
1049	340401	307982
1050	340687	307623
1051	340941	307236
1052	341357	306994
1053	341649	306642
1054	342014	306354
1055	342389	306075
1056	342745	305779
1057	343030	305420
1058	343329	305073
1059	343632	304730
1060	343934	304387
1061	344239	304046
1062	344492	303659
1063	344765	303290
1064	345067	302946
1065	345397	302628
1066	345674	302262
1067	346077	302007
1068	346427	301705
1069	346809	301432
1070	347130	301105
1071	347398	300733
1072	347723	300409
1073	348078	300112
1074	348395	299782
1075	348768	299499
1076	349055	299144
1077	349335	298781
1078	349581	298391
1079	349891	298055
1080	350220	297735
1081	350604	297462
1082	350963	297168
1083	351232	296797
1084	351550	296468
1085	351988	296241
1086	352380	295973
1087	352765	295700
1088	353174	295447
1089	353515	295137
1090	353839	294811
1091	354124	294455
1092	354479	294156
1093	354854	293873
1094	355187	293556
1095	355553	293267
1096	355852	292921
1097	356198	292614
1098	356439	292221
1099	356804	291931
1100	357117	291597
1101	357382	291224
1102	357762	290945
1103	358071	290608
1104	358525	290389
1105	358919	290121
1106	359183	289747
1107	359493	289411
1108	359828	289095
1109	360132	288755
1110	360499	288464
1111	360715	288053
1112	360970	287673
1113	361364	287404
1114	361694	287084
1115	361978	286728
1116	362318	286416
1117	362647	286096
1118	362973	285772
1119	363281	285435
1120	363591	285100
1121	363974	284821
1122	364273	284477
1123	364479	284060
1124	364772	283712
