iter	Logloss
0	0.6814916731
5	0.6399159672
10	0.6162885536
15	0.6027005102
20	0.5946514347
25	0.5898925399
30	0.5867629842
35	0.5848881288
40	0.5835370817
45	0.5826906443
50	0.5820484974
55	0.581572173
60	0.5811775578
65	0.5808662428
70	0.5806082809
75	0.5803967069
80	0.5801976138
85	0.5800265231
90	0.5798585085
95	0.5797243301
100	0.5796064865
105	0.5794661561
110	0.5793420897
115	0.5792349592
120	0.5791144992
125	0.5790120003
130	0.5789224066
135	0.5788497842
140	0.5787551345
145	0.5786743093
150	0.578606672
155	0.5785456465
160	0.5784581035
165	0.5783756165
170	0.5783157932
175	0.5782529998
180	0.5782019095
185	0.5781378433
190	0.5780597052
195	0.5779984675
200	0.5779443012
205	0.5778955797
210	0.5778350492
215	0.5777764633
220	0.5777139174
225	0.5776653728
230	0.5776124086
235	0.5775492263
240	0.5774994796
245	0.5774517835
250	0.5773971929
255	0.5773497796
260	0.5773030735
265	0.5772443108
270	0.5772022365
275	0.5771595257
280	0.57710939
285	0.577056249
290	0.5770124068
295	0.5769564373
300	0.5769221767
305	0.576865889
310	0.5768035906
315	0.5767627891
320	0.576716684
325	0.5766633309
330	0.5766201958
335	0.5765813742
340	0.576535941
345	0.5764870781
350	0.5764482212
355	0.5764065358
360	0.576367891
365	0.5763212203
370	0.5762811966
375	0.576237319
380	0.576203412
385	0.5761688332
390	0.5761332291
395	0.5761033528
400	0.5760684204
405	0.5760282907
410	0.5759935351
415	0.5759570824
420	0.5759114017
425	0.5758746308
430	0.5758236466
435	0.5757835522
440	0.5757415485
445	0.575704813
450	0.5756730274
455	0.5756386254
460	0.5756005817
465	0.5755665686
470	0.5755277824
475	0.5754951129
480	0.5754630798
485	0.5754241168
490	0.5753911998
495	0.5753453776
500	0.5752996261
505	0.5752628552
510	0.5752377874
515	0.5752004862
520	0.5751643517
525	0.5751302326
530	0.5750966791
535	0.575065035
540	0.5750309865
545	0.5750011809
550	0.574967981
555	0.5749352408
560	0.5748934493
565	0.5748636083
570	0.5748242918
575	0.5747956175
580	0.5747562303
585	0.5747242325
590	0.5746980686
595	0.5746623938
600	0.5746264361
605	0.5745970901
610	0.5745673552
615	0.5745335543
620	0.5745001776
625	0.5744695942
630	0.5744443142
635	0.5744069422
640	0.5743718685
645	0.5743362643
650	0.5743103833
655	0.5742789159
660	0.5742490042
665	0.574212304
670	0.5741819681
675	0.5741526928
680	0.5741182201
685	0.5740885559
690	0.5740559217
695	0.574023429
700	0.573995568
705	0.5739609892
710	0.5739346485
715	0.5739038529
720	0.5738784669
725	0.5738465398
730	0.5738102286
735	0.5737695685
740	0.5737438996
745	0.5737074823
750	0.5736720196
755	0.5736363801
760	0.5736023317
765	0.5735699097
770	0.5735428265
775	0.573516309
780	0.5734832152
785	0.5734544349
790	0.573425195
795	0.5733961319
800	0.5733631795
805	0.5733314646
810	0.5733093667
815	0.5732743637
820	0.5732415527
825	0.5732070093
830	0.5731813051
835	0.5731514287
840	0.5731177692
845	0.5730815287
850	0.5730541627
855	0.5730244985
860	0.5729886822
865	0.5729580987
870	0.5729277274
875	0.5729020585
880	0.5728763542
885	0.5728506146
890	0.57282438
895	0.572793938
900	0.5727662537
905	0.5727381806
910	0.5727057939
915	0.5726800543
920	0.5726531125
925	0.5726164831
930	0.5725920517
935	0.5725625289
940	0.572532299
945	0.5725026348
950	0.5724676317
955	0.572440195
960	0.5724081972
965	0.5723823162
970	0.5723555866
975	0.5723222453
980	0.5722930054
985	0.5722622805
990	0.5722328638
995	0.5722070181
1000	0.572175975
1005	0.5721474775
1010	0.5721180255
1015	0.5720882199
1020	0.5720618085
1025	0.5720320028
1030	0.5720088796
1035	0.5719817611
1040	0.5719558447
1045	0.571929999
1050	0.571903128
1055	0.5718702817
1060	0.5718469816
1065	0.5718218431
1070	0.571787335
1075	0.5717597569
1080	0.571737164
1085	0.5717085251
1090	0.5716827855
1095	0.5716496917
1100	0.5716200629
1105	0.5715916362
1110	0.5715674876
1115	0.5715358081
1120	0.5715075581
